fund_name,Predicted strategy,strategy evidence,source meta data
AllianzGI Small-Cap Fund,Equity Long Only (Low Risk),"Principal Investment Strategies

The Fund seeks to achieve its objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in companies with smaller market capitalizations. The Fund expects to invest principally in U.S. companies but may invest to a lesser extent in non-U.S. companies. The Fund currently considers smaller market capitalization companies to be companies with market capitalizations that are smaller than the largest company in the Russell 2000 Index (approximately $[    ] billion as of June 30, 2018). The portfolio managers generally seek exposure to smaller capitalization companies by employing four distinct small cap strategies or “sleeves” for selecting individual stocks:

U.S. Systematic Small

Cap.  The U.S. Systemic Small

Cap sleeve normally invests primarily in common stocks of companies with smaller market capitalizations that are listed on U.S. exchanges. The team’s quantitative

50	 	Allianz Funds",{'source': 'MutualFundSummary/AllianzGI Small-Cap Fund.txt'}
AllianzGI Technology Fund,Equity Long Only (Low Risk),"AllianzGI Technology Fund

<head_breaker>

Investment Objective

The Fund seeks long

term capital appreciation.

Fees and Expenses of the Fund

The tables below describe the fees and expenses that you may pay if you buy and hold shares of the Fund. You may qualify for sales charge discounts if you and your family invest, or agree to invest in the future, at least $50,000 in Class A shares of eligible funds that are part of the family of mutual funds sponsored by Allianz. More information about these and other discounts is available in the “Classes of Shares” section beginning on page 98 of the Fund’s prospectus or from your financial advisor. In addition, if you purchase shares through a specific intermediary, you may be subject to different sales charges including reductions in or waivers of such charges. More information about these intermediary-specific sales charge variations is available in Appendix A to the Fund’s prospectus (“Intermediary Sales Charge Discounts and Waivers”).",{'source': 'MutualFundSummary/AllianzGI Technology Fund.txt'}
American Century Diversified Corporate Bond ETF,Fixed Income Long Only (Low Risk),"American Century Diversified Corporate Bond ETF

<head_breaker>

Fund Summary

Investment Objective

The fund seeks to provide current income.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may also incur usual and customary brokerage commissions when buying or selling shares of the fund, which are not reflected in the example that follows.

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Management Fee

0.45%

Other Expenses

0.00%

Total Annual Fund Operating Expenses

0.45%

Example",{'source': 'MutualFundSummary/American Century Diversified Corporate Bond ETF.txt'}
American Century Growth ETF,Equity Long Only (Low Risk),"American Century Growth ETF

<head_breaker>

Fund Summary

Investment Objective

The fund seeks long-term capital growth.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may also incur usual and customary brokerage commissions when buying or selling shares of the fund, which are not reflected in the example that follows.

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Management Fee

[____]%

Other Expenses1

[____]%

Total Annual Fund Operating Expenses

[____]%

1Other expenses are based on estimated amounts for the current fiscal year.

Example",{'source': 'MutualFundSummary/American Century Growth ETF.txt'}
American Century Diversified Municipal Bond ETF,Fixed Income Long Only (Low Risk),"American Century Diversified Municipal Bond ETF

<head_breaker>

Fund Summary

Investment Objective

The fund seeks current income that is exempt from federal income tax.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may also incur usual and customary brokerage commissions when buying or selling shares of the fund, which are not reflected in the example that follows.

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Management Fee

0.29%

Other Expenses1

0.00%

Total Annual Fund Operating Expenses

0.29%

1Other expenses are based on estimated amounts for the current fiscal year.

Example",{'source': 'MutualFundSummary/American Century Diversified Municipal Bond ETF.txt'}
American Century Quality Diversified International ETF,Equity Long Only (Low Risk),"American Century Quality Diversified International ETF

<head_breaker>

Fund Summary

Investment Objective

The fund seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the Alpha Vee American Century Diversified International Equity Index (the “Index”).

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may also incur usual and customary brokerage commissions when buying or selling shares of the fund, which are not reflected in the example that follows.

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Management Fee

0.39%

Other Expenses1

0.00%

Total Annual Fund Operating Expenses

0.39%

1

Other expenses are based on estimated amounts for the current fiscal year.

Example",{'source': 'MutualFundSummary/American Century Quality Diversified International ETF.txt'}
American Century STOXX U.S. Quality Growth ETF,Equity Long Only (Low Risk),"American Century STOXX U.S. Quality Growth ETF

<head_breaker>

Fund Summary

Investment Objective

The fund seeks to provide investment results that closely correspond, before fees and expenses, to the performance of the iSTOXX American Century USA Quality Growth Index (the “Index”).

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may also incur usual and customary brokerage commissions when buying or selling shares of the fund, which are not reflected in the example that follows.

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Management Fee

0.29%

Other Expenses1

0.00%

Total Annual Fund Operating Expenses

0.29%

1

Other expenses are based on estimated amounts for the current fiscal year.

Example",{'source': 'MutualFundSummary/American Century STOXX U.S. Quality Growth ETF.txt'}
American Century STOXX U.S. Quality Value ETF,Balanced Fund (Low Risk),American Century STOXX U.S. Quality Value ETF <head_breaker>,{'source': 'MutualFundSummary/American Century STOXX U.S. Quality Value ETF.txt'}
American Century Value ETF,Equity Long Only (Low Risk),"American Century Value ETF

<head_breaker>

Fund Summary

Investment Objective

The fund seeks long-term capital growth.

Fees and Expenses

The following table describes the fees and expenses you may pay if you buy and hold shares of the fund. You may also incur usual and customary brokerage commissions when buying or selling shares of the fund, which are not reflected in the example that follows.

Annual Fund Operating Expenses (expenses that you pay each year as a percentage of the value of your investment)

Management Fee

[____]%

Other Expenses1

[____]%

Total Annual Fund Operating Expenses

[____]%

1Other expenses are based on estimated amounts for the current fiscal year.

Example",{'source': 'MutualFundSummary/American Century Value ETF.txt'}
American Funds 2010 Target Date Retirement Fund,Balanced Fund (Low Risk),"American Funds Target Date Retirement Series / Prospectus     71

Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories, including growth-and-income funds, equity-income funds, balanced funds and fixed income funds. The fund categories represent differing investment objectives. For example, growth-and-income funds seek long-term growth and income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who have retired in, or close to, the year designated in the fund’s name.",{'source': 'MutualFundSummary/American Funds 2010 Target Date Retirement Fund.txt'}
